date,simple_return,benchmark_return,factor_score
2022-01-04,-0.00775346,-0.00506026,1.350833
2022-01-05,-0.00666976,0.02178605,1.069221
2022-01-06,0.01058845,0.01253021,2.523620
2022-01-07,0.00752871,-0.00447220,-0.343461
2022-01-10,-0.01188725,0.00469148,0.600446
2022-01-11,-0.00155221,-0.01753786,-0.831502
2022-01-12,0.01486865,-0.00750093,-0.000652
2022-01-13,-0.00016350,0.00018779,-0.784286
2022-01-14,-0.00474165,0.00915584,1.002342
2022-01-17,-0.00470402,0.00629777,-0.681074
2022-01-18,-0.01072589,-0.00674902,-0.676658
2022-01-19,0.01616153,-0.01296544,-1.618618
2022-01-20,0.00625370,0.00044587,0.411096
2022-01-21,-0.00060875,-0.00282592,0.265815
2022-01-24,-0.00350510,0.00053848,-1.076599
2022-01-25,-0.00430256,-0.01006892,-0.613190
2022-01-26,0.00328798,0.00064789,-0.361186
2022-01-27,0.00076963,0.00244920,-1.557668
2022-01-28,-0.00410808,0.00989803,-0.346302
2022-01-31,0.01583770,-0.00237574,-0.064745
2022-02-01,0.01053739,-0.00654840,1.660579
2022-02-02,-0.01034387,0.00117324,0.719163
2022-02-03,-0.00327459,0.01262512,1.367814
2022-02-04,0.00225197,0.00493672,0.711345
2022-02-07,0.00020290,0.00342445,-2.371600
2022-02-08,-0.00507691,0.00539755,-0.563755
2022-02-09,0.00934980,-0.00579891,0.177835
2022-02-10,0.00779203,-0.00884555,0.398185
2022-02-11,-0.00504920,0.00969658,-0.306813
2022-02-14,-0.02242035,0.01994707,0.285829
2022-02-15,-0.00147135,-0.00588057,-0.581002
2022-02-16,0.00785763,0.00022801,-0.844802
2022-02-17,0.00287941,0.01143953,-0.306420
2022-02-18,-0.00617679,0.00038391,2.405434
2022-02-21,0.00633632,-0.00109942,-0.265422
2022-02-22,0.01942292,0.01464143,0.119565
2022-02-23,0.00975601,-0.01090837,-1.381626
2022-02-24,0.01268931,-0.01140542,-0.869461
2022-02-25,0.00186668,-0.00635406,0.867239
2022-02-28,0.00319539,-0.00438171,0.834564
2022-03-01,0.00485884,0.00438756,-0.799424
2022-03-02,-0.00337227,-0.00056624,-1.293201
2022-03-03,0.00551987,-0.00536846,-0.507216
2022-03-04,-0.00302581,-0.01041286,0.088712
2022-03-07,-0.01873812,0.01763006,0.914935
2022-03-08,-0.02823424,0.00984686,-0.987630
2022-03-09,-0.00276352,0.01084425,0.391916
2022-03-10,0.00974939,0.00071060,-1.591796
2022-03-11,-0.01980423,-0.00280306,-0.488362
